#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
114,6683.4,0.1000,39.71,167.41
115,7079.5,0.1000,39.68,166.72
116,7498.9,0.1000,39.66,165.99
117,7943.3,0.1000,39.63,165.18
118,8414.0,0.1000,39.60,164.32
119,8912.5,0.1000,39.55,163.46
120,9440.6,0.1000,39.51,162.54
121,10000.0,0.1000,39.47,161.61
122,10592.5,0.1000,39.41,160.55
123,11220.2,0.1000,39.35,159.50
124,11885.0,0.1000,39.29,158.42
125,12589.3,0.1000,39.23,157.21
126,13335.2,0.1000,39.15,156.06
127,14125.4,0.1000,39.06,154.75
128,14962.4,0.1000,38.98,153.48
129,15848.9,0.1000,38.88,152.11
130,16788.0,0.1000,38.75,150.70
131,17782.8,0.1000,38.63,149.24
132,18836.5,0.1000,38.51,147.77
133,19952.6,0.1000,38.36,146.23
134,21134.9,0.1000,38.19,144.72
135,22387.2,0.1000,38.04,143.07
136,23713.7,0.1000,37.85,141.46
137,25118.9,0.1000,37.65,139.85
138,26607.3,0.1000,37.45,138.15
139,28183.8,0.1000,37.23,136.53
140,29853.8,0.1000,36.99,134.82
141,31622.8,0.1000,36.73,133.15
142,33496.5,0.1000,36.47,131.45
143,35481.3,0.1000,36.18,129.70
144,37583.7,0.1000,35.88,128.10
145,39810.7,0.1000,35.56,126.44
146,42169.7,0.1000,35.26,124.83
147,44668.4,0.1000,34.93,123.26
148,47315.1,0.1000,34.57,121.67
149,50118.7,0.1000,34.22,120.17
150,53088.4,0.1000,33.86,118.64
151,56234.1,0.1000,33.48,117.13
152,59566.2,0.1000,33.07,115.69
153,63095.7,0.1000,32.68,114.36
154,66834.4,0.1000,32.27,113.01
155,70794.6,0.1000,31.85,111.68
156,74989.4,0.1000,31.43,110.47
157,79432.8,0.1000,30.98,109.26
158,84139.5,0.1000,30.52,108.07
159,89125.1,0.1000,30.09,106.97
160,94406.1,0.1000,29.64,105.85
161,100000.0,0.1000,29.18,104.81
162,105925.4,0.1000,28.72,103.77
163,112201.8,0.1000,28.27,102.84
164,118850.2,0.1000,27.81,101.88
165,125892.5,0.1000,27.33,100.95
166,133352.1,0.1000,26.85,100.11
167,141253.8,0.1000,26.38,99.35
168,149623.6,0.1000,25.89,98.51
169,158489.3,0.1000,25.44,97.59
170,167880.4,0.1000,24.94,96.82
171,177827.9,0.1000,24.45,96.11
172,188364.9,0.1000,23.97,95.20
173,199526.2,0.1000,23.48,94.53
174,211348.9,0.1000,22.99,93.82
175,223872.1,0.1000,22.48,93.08
176,237137.4,0.1000,22.00,92.40
177,251188.6,0.1000,21.50,91.61
178,266072.5,0.1000,21.01,90.92
179,281838.3,0.1000,20.52,90.36
180,298538.3,0.1000,20.03,89.69
181,316227.8,0.1000,19.54,88.91
182,334965.4,0.1000,19.06,88.22
183,354813.4,0.1000,18.57,87.59
184,375837.4,0.1000,18.07,86.79
185,398107.2,0.1000,17.58,86.10
186,421696.5,0.1000,17.09,85.25
187,446683.6,0.1000,16.57,84.40
188,473151.3,0.1000,16.09,83.53
189,501187.2,0.1000,15.57,82.79
190,530884.4,0.1000,15.08,81.93
191,562341.3,0.1000,14.74,80.84
192,595662.1,0.1000,14.23,80.02
193,630957.3,0.1000,13.74,79.19
194,668343.9,0.1000,13.24,78.31
195,707945.8,0.1000,12.75,77.09
196,749894.2,0.1000,12.23,76.15
197,794328.2,0.1000,11.74,74.79
198,841395.1,0.1000,11.23,73.69
199,891250.9,0.1000,10.74,72.74
200,944060.9,0.1000,10.20,71.22
201,1000000.0,0.1000,9.71,69.83
